1.800,-0.009,-0.044,1.110,1.181
1.810,-0.006,-0.049,1.100,3.088
1.820,-0.007,-0.042,1.084,4.092
1.830,-0.004,-0.048,1.065,3.022
1.840,-0.007,-0.040,1.045,1.650
1.850,-0.005,-0.044,1.024,0.947
1.860,-0.007,-0.037,1.004,1.048
1.870,-0.003,-0.041,0.982,1.416
1.880,-0.006,-0.034,0.961,1.449
1.890,-0.001,-0.033,0.939,1.449
1.900,0.005,-0.016,0.917,0.847
1.910,0.014,-0.006,0.896,-0.324
1.920,0.018,0.013,0.877,-0.291
1.930,0.039,0.010,0.859,-0.190
1.940,0.045,0.026,0.844,0.278
1.950,0.030,0.010,0.831,-0.190
1.960,0.015,-0.014,0.825,-0.291
1.970,0.019,-0.039,0.825,0.379
1.980,-0.000,-0.042,0.835,1.449
1.990,-0.015,-0.048,0.855,1.750
2.000,-0.016,-0.045,0.884,1.148
2.010,-0.010,-0.047,0.921,1.215
2.020,-0.012,-0.037,0.966,0.947
2.030,-0.007,-0.037,1.015,0.512
2.040,-0.010,-0.030,1.070,0.981
2.050,-0.030,-0.050,1.127,0.412
2.060,0.027,0.101,1.185,0.245
2.070,0.326,0.674,1.242,0.111
2.080,0.486,1.143,1.299,0.345
2.090,0.266,0.648,1.355,0.211
2.100,-0.003,0.057,1.408,-1.194
2.110,-0.068,-0.103,1.454,2.888
2.120,-0.023,-0.071,1.493,7.337
2.130,-0.016,-0.084,1.524,2.219
2.140,-0.022,-0.078,1.546,-3.836
2.150,-0.014,-0.073,1.557,-7.416
2.160,-0.013,-0.058,1.561,-3.402
2.170,-0.007,-0.056,1.563,5.296
2.180,-0.007,-0.043,1.565,6.601
2.190,0.001,-0.043,1.568,2.185
2.200,0.004,-0.028,1.575,0.914
2.210,0.011,-0.025,1.585,1.483
2.220,0.013,-0.012,1.596,0.245
2.230,0.024,-0.010,1.606,-1.127
2.240,0.029,0.006,1.613,-1.428
2.250,0.038,0.010,1.616,-2.064
2.260,0.044,0.028,1.615,-2.131
2.270,0.057,0.039,1.611,-2.365
2.280,0.069,0.065,1.605,-0.859
2.290,0.089,0.085,1.597,-0.090
2.300,0.103,0.119,1.590,0.011
2.310,0.119,0.141,1.583,0.011
2.320,0.126,0.176,1.578,0.245
2.330,0.135,0.193,1.575,0.780
2.340,0.126,0.194,1.574,1.115
2.350,0.102,0.144,1.575,1.516
2.360,0.057,0.083,1.576,1.750
2.370,0.021,0.016,1.577,1.750
2.380,-0.008,-0.026,1.577,1.683
2.390,-0.021,-0.063,1.574,0.847
2.400,-0.032,-0.078,1.567,-0.056
2.410,-0.031,-0.093,1.556,-1.461
2.420,-0.033,-0.086,1.544,-2.398
2.430,-0.028,-0.089,1.530,-2.398
2.440,-0.031,-0.080,1.515,-0.759
2.450,-0.029,-0.081,1.498,0.546
2.460,-0.032,-0.069,1.480,1.248
2.470,-0.029,-0.074,1.462,1.616
2.480,-0.031,-0.064,1.443,2.921
2.490,-0.026,-0.067,1.427,5.965
2.500,-0.026,-0.061,1.414,5.798
2.510,-0.022,-0.064,1.404,0.144
2.520,-0.022,-0.058,1.397,-2.365
2.530,-0.015,-0.063,1.392,-1.495
2.540,-0.015,-0.055,1.389,-0.257
2.550,-0.011,-0.059,1.385,-1.796
2.560,-0.012,-0.053,1.381,-3.870
2.570,-0.007,-0.057,1.376,-4.673
2.580,-0.010,-0.051,1.370,-2.967
2.590,-0.010,-0.058,1.363,-0.659
2.600,-0.011,-0.052,1.354,0.780
2.610,-0.008,-0.058,1.345,0.011
2.620,-0.012,-0.054,1.334,-0.826
2.630,-0.009,-0.058,1.322,0.680
2.640,-0.011,-0.050,1.308,2.152
2.650,-0.009,-0.056,1.293,2.888
2.660,-0.011,-0.051,1.277,3.456
2.670,-0.009,-0.053,1.260,3.456
2.680,-0.011,-0.045,1.242,2.620
2.690,-0.007,-0.045,1.225,2.219
2.700,-0.003,-0.026,1.207,1.784
2.710,0.004,-0.014,1.188,1.784
2.720,0.011,0.001,1.169,1.549
2.730,0.030,-0.003,1.150,1.115
2.740,0.034,0.011,1.129,0.312
2.750,0.021,-0.006,1.108,0.512
2.760,0.009,-0.026,1.084,0.044
2.770,0.014,-0.049,1.060,0.044
2.780,-0.008,-0.057,1.035,0.613
2.790,-0.022,-0.062,1.009,0.847
2.800,-0.024,-0.059,0.983,0.813
2.810,-0.020,-0.064,0.957,0.111
2.820,-0.022,-0.052,0.929,-0.257
2.830,-0.020,-0.053,0.901,0.512
2.840,-0.020,-0.047,0.873,0.479
2.850,-0.038,-0.067,0.846,1.181
2.860,0.005,0.073,0.819,0.880
2.870,0.278,0.634,0.791,0.479
2.880,0.448,1.143,0.763,1.048
2.890,0.250,0.690,0.732,1.148
2.900,-0.008,0.077,0.695,-0.023
2.910,-0.077,-0.107,0.651,2.620
2.920,-0.033,-0.081,0.601,7.337
2.930,-0.020,-0.090,0.546,2.654
2.940,-0.028,-0.087,0.490,-4.907
2.950,-0.022,-0.081,0.436,-8.085
2.960,-0.020,-0.065,0.386,-6.045
2.970,-0.016,-0.062,0.339,4.828
2.980,-0.013,-0.046,0.296,9.378
2.990,-0.008,-0.039,0.256,3.088
3.000,-0.005,-0.027,0.218,-1.361
3.010,0.004,-0.022,0.182,-0.725
3.020,0.005,-0.009,0.145,0.981
3.030,0.011,-0.004,0.102,1.081
3.040,0.017,0.016,0.047,-0.123
3.050,0.026,0.023,-0.022,-2.298
3.060,0.032,0.037,-0.113,-2.599
3.070,0.044,0.040,-0.232,-2.064
3.080,0.055,0.062,-0.373,-0.759
3.090,0.070,0.080,-0.526,0.445
3.100,0.086,0.112,-0.682,1.483
3.110,0.104,0.134,-0.832,0.646
3.120,0.113,0.162,-0.976,0.579
3.130,0.119,0.174,-1.110,1.014
3.140,0.109,0.176,-1.231,1.616
3.150,0.083,0.130,-1.332,1.851
3.160,0.039,0.069,-1.410,2.051
3.170,0.001,0.000,-1.465,2.285
3.180,-0.026,-0.039,-1.498,1.717
3.190,-0.039,-0.074,-1.507,1.416
3.200,-0.047,-0.088,-1.491,0.579
3.210,-0.047,-0.100,-1.452,-0.324
3.220,-0.049,-0.097,-1.388,-0.993
3.230,-0.049,-0.101,-1.299,-1.495
3.240,-0.049,-0.093,-1.187,-0.558
3.250,-0.044,-0.091,-1.063,0.847
